id,text,sentiment
1053,New BG Group CEO Helge Lund Starts Earlier Than Expected,2
665,Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,3
899,CompaniesCoutts raids JPMorgan Chase for new CEO,2
997,Genel Shares Plunge After Tony Hayward's Oil Explorer Cuts Crude Reserves at Core Field,0
1006,Aldi and Lidl expansion plans speed ahead as Tesco  Sainsbury's  Morrisons ...,3
1035,Direct Line rings up higher profit,3
134,Goldman Sachs  Barclays  HSBC downplay Brexit threat,2
893,Glencore Agrees to Sell Minority Stake in Agriculture Business,3
708,AstraZeneca sells Caprelsa rights to Sanofi unit,3
495,Shell Plans to Shed 2800 Jobs After Buying BG Group,1
419,Novartis buys remaining rights to GSK treatment in deal up to $1 billion,3
170,Verizon and AT&T accused of hurting rivals,1
1004,Sainsbury's pressed to raise bid for Home Retail Group,3
581,British American Tobacco first-half sales hurt by currency moves,1
570,DBS  Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...,3
1135,UPDATE: CIB  Legal & General Sell Egyptian Life Joint Venture To AXA,2
1033,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,3
1050,Barclays appoints JPMorgan's Paul Compton as new COO,2
1101,CompaniesGlencore's annual results beat forecasts,4
133,GSK joins China trade push as UK trumpets healthcare deals,3
954,InterContinental Hotels Denies Reports of Starwood Merger Talks,2
370,Persimmon revenues lifted 12% by post-election confidence,3
220,Arm buoyed by race to build the internet of things,3
991,CompaniesRoyal Mail swerves new pricing regulations,2
979,Big account wins keep ad group WPP at front of pack,3
246,Morrisons faces festive sales test,2
993,Domino's Pizza worker sacked after crude slur aimed at customer on order screen,1
376,LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,1
1054,BHP  Residents Brace as Cyclone Stan Nears Australian Coast,2
231,AstraZeneca bags another cancer drug deal  this time with Inovio,3
490,We'd support HSBC leaving London  says Standard Life,2
777,Glencore 2014 profit in line  takes $1.1 billion charge on commodity prices,2
734,Royal Bank of Scotland becomes Facebook customer,3
7,Barclays share price subdued as bank faces fresh forex probe,1
957,SSE to Shut Coal-Fired Plant Amid Shift to Gas  Renewable Energy,2
1134,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),3
400,Shire share price: Group releases full-year results,3
120,France raises concerns over proposed LSE-Deutsche Boerse deal,1
912,Shell's profits hit by further slide in oil prices,0
951,Exclusive - Britain targets sale of half its RBS stake in two years: sources,1
1000,Diageo receives reports from United Spirits on financial irregularities involving ...,1
637,Aberdeen to raise 100 mln stg to seed new funds,3
953,Saudi Aramco  Shell plan to break up Motiva  divide up assets,3
33,UPDATE 1-Shire takes Q2 earnings pain for long-term gain,2
700,Can Christmas Save Sainsbury's plc And Tesco plc?,2
26,Novo Nordisk and AstraZeneca seek tonic from key drug trials,2
912,Shell's profits hit by further slide in oil prices,0
405,Buffett's Berkshire delivers 9.8% profit growth,4
607,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,0
1132,Berkshire applies to boost Wells Fargo stake above 10 percent,3
852,What It Takes for Royal Dutch Shell to Break Even,2
734,Royal Bank of Scotland becomes Facebook customer,3
949,CompaniesNew Aggreko CEO to reshape business  strip costs,2
720,Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,3
241,Aberdeen AM posts H1 outflows  says conditions to remain challenging,1
1065,Whitbread Profit Up As Sales Continue To Rise  Looking For New CEO,3
205,CompaniesCompass serves up half year profit rise,3
779,Lloyds returns Â£13bn to UK taxpayer,2
592,Standard Chartered Will Close Equity Sales and Research Business,1
754,GSK hopes big clinical trial can breath new life into lung drug,2
565,Unilever head's resignation sparks spinoff talk,2
777,Glencore 2014 profit in line  takes $1.1 billion charge on commodity prices,2
73,Clinigen chosen by AstraZeneca to manage access programme for next ...,3
80,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,3
1037,AstraZeneca sells rights to anaesthetics to South Africa's Aspen,3
269,Shell  Chevron Await LNG's Return From `Pause Mode',2
189,BP asks for lower fine in penalty phase of Gulf spill trial,2
721,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,3
527,HSBC appoints business leaders to board,2
282,Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,2
626,Hammerson  JV Partner secure ownership of Ireland's Dundrum - Quick Facts,3
280,CompaniesAstraZeneca wins nod for 'blockbuster' hopeful,3
322,Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,3
569,Whitbread to hike prices to offset 'substantial' national living wage bill,2
983,Dyson Wants to Create a Hair Dryer Revolution,3
267,SSE faces profiteering accusations despite 5.3% cut in gas charges,1
578,Shell share price: Standard Life announce position against BG acquisition,2
760,Aviva plans to up pay-out ratio  says too soon to judge Brexit impact,2
575,CRH's concrete bid for Holcim Lafarge assets,2
1081,BT finance director Tony Chanmugam to step down,2
432,Glencore Cuts 2015 Budget  Plans To Divest From Lonmin,1
123,Tushar Morzaria is bookies' favourite to be new Barclays chief executive,2
269,Shell  Chevron Await LNG's Return From `Pause Mode',2
950,Verizon and AT&T accused of hurting rivals,1
73,Clinigen chosen by AstraZeneca to manage access programme for next ...,3
81,Barclays to speed up cost-cuts after new mis-selling hit,1
688,UPDATE 1-Pearson expects to grow this year after solid end to 2014,3
1099,Shire share price under pressure after $32bn Baxalta deal,2
197,Should You Follow Berkshire Hathaway Into Apple Stock?,2
591,UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,4
61,Is It Worth Investing In Tesco PLC And Prudential plc Now?,2
902,Stars aligned' for AB InBev's megabrew merger plan,3
448,Berkshire Shareholders Pepper Warren Buffett With Some Hard Questions,2
651,WPP boosts sales despite cautious clients,3
332,FDA approves AstraZeneca drug for advanced lung cancer,3
997,Genel Shares Plunge After Tony Hayward's Oil Explorer Cuts Crude Reserves at Core Field,0
865,Oilfield services firm Petrofac's debt shoots up 50 per cent,0
750,Intertek profit up 16.1%; expects to meet forecast,4
1117,Copper Prices up on Glencore Cuts to Zinc Supply,3
861,Norway's sovereign wealth fund says backed Shell CEO's pay,2
848,Hargreaves weathers torrid ISA season and Brexit fears,1
126,Shares in BAE Systems hit 10-month high on rating upgrade,4
99,Standard Life slips as Greek worries peg back Britain's FTSE,1
358,Royal Mail hands chief executive Moya Greene a 13% rise in her pay package,2
984,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,3
160,UPDATE 2-Exchanges  Barclays win dismissal of US high-frequency trading case,3
383,UPDATE: AstraZeneca's Selumetinib Gets Orphan Drug Label  Good AZD9291 ...,3
563,Pearson expects to return to growth this year,3
18,BP Seeks to Get Back Some Gulf Oil Spill Business Payouts,2
663,Lloyds sells Irish loan portfolio for Â£827m,2
22,L&G still paying price for dividend cut during crisis  chief says,1
486,London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,3
760,Aviva plans to up pay-out ratio  says too soon to judge Brexit impact,2
154,Warren Buffett's Berkshire Hathaway buys stake in Apple,3
889,Sainsbury's and Glencore give FTSE a three-digit lift - London Report,4
698,MarketsMoneysupermarket slides 11% on Barclays Brexit warning,0
119,Severn Trent share price jumps as Canadian investor renews pursuit of utility,3
860,LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,3
930,UPDATE 1-BHP Billiton's credit ratings fragile in FY16  agencies warn,1
335,Reed Elsevier shares cool after profit dip,1
591,UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,4
446,Barclays CEO Staley Says Brexit Slump Caused by Profit Fears,1
571,CompaniesCar insurer Hastings Group driving Â£180m IPO,3
211,Falling oil prices hurt Hunting  Weir Group,1
1043,Tesco leads leap in FTSE 100; Marks & Spencer drops,3
746,CompaniesTesco sends supermarket shares to top of FTSE,3
263,PRESS: Serco Set To Appoint Roy Gardner  Ex-Centrica  As Chairman - FT,2
1098,AstraZeneca heart drug boosted by major clinical trial success,3
689,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,3
71,World's banks may halve jobs and branches within 10 years - Barclays ex-boss,1
942,FTSE ends higher; 3i Group leads after strong earnings,3
420,EU drops Shell  BP  Statoil from ethanol benchmark investigation,3
717,EU drops Shell  BP  Statoil from ethanol benchmark investigation,3
1083,Buffett's Berkshire builds Deere stake  dumps Exxon,2
279,BG Group Still Happy With Shell's $70 Billion Offer,3
516,AstraZeneca sells Caprelsa rights to Sanofi unit,3
924,Breakingviews: IAG can pay more for Aer Lingus,3
18,BP Seeks to Get Back Some Gulf Oil Spill Business Payouts,2
916,Lloyds is cutting more than 600 jobs and shutting 21 branches,1
1111,Tesco share price closes higher as two more directors leave grocer,3
936,CompaniesPhilips transfers $900m of pension obligations,3
437,StanLife leads FTSE after strong earnings,4
356,AB InBev to Sell SABMiller Stake in China's Snow Beer,2
535,Old Mutual share price: Wealth unit seen as blue-chip company,4
826,Barclays CEO poaches risk head from JP Morgan,2
283,CompaniesDiageo stays neutral on India boardroom turmoil,2
913,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,3
704,CompaniesHome Retail trims gains but is considered 'in play',2
477,Diageo and Carlsberg hit as Russians suffer from oil price collapse and rouble ...,1
336,BAE Systems lines up oil exec Woodburn as next CEO -source,2
390,Britain's FTSE hits three-week low as financials  Tesco fall,0
355,UPDATE 6-Royal Dutch Shell pulls plug on Arctic exploration,1
1111,Tesco share price closes higher as two more directors leave grocer,3
741,Tesco share price down as grocer faces SFO investigation outcome,1
599,AstraZeneca bags another cancer drug deal  this time with Inovio,3
94,Fresnillo Production Surges But Profit Hit By Lower Prices,3
1127,UPDATE 1-AstraZeneca potassium drug delayed by manufacturing snag,1
441,Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,3
461,ARM Royalties Accelerate as Smartphone Market Regains Strength,3
442,Tesco says UK store closures put 2000 jobs at risk,1
574,Britain's FTSE steadies  supported by Dixons Carphone,3
595,Prudential knocked after investors withdraw Â£3.9bn from M&G,0
358,Royal Mail hands chief executive Moya Greene a 13% rise in her pay package,2
481,BP joins forces with Det Norske in Norway,3
842,Investor Woodford calls for outsider to head GlaxoSmithKline,2
42,Reaching New Depths: Glencore's $5bn Loss,0
254,ARM shrugs off smartphone slowdown as newer designs win share,2
1088,UK sells more of Lloyds bank stake  12.5 billion pounds raised so far,1
35,Standard Chartered considering move from UK,2
172,Johnson Matthey profit falls but dividend rises,2
1132,Berkshire applies to boost Wells Fargo stake above 10 percent,3
1120,UK government cuts stake in Lloyds to below 11 pct,1
494,UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,2
568,Morrisons and Debenhams surprise City with Christmas bounce back,3
649,CEO of Berkshire's Gen Re to retire; Jain's role grows,2
121,Bunzl blames weakness in United States for first-half revenue slowdown,1
463,Glencore chief blames rivals' overproduction for share price fall,1
817,BHP Billiton to lower copper production costs,3
17,Schroders posts FY profit beat  replaces CEO and chairman in board shake-up,2
15,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,1
705,Intertek Group announces strategic update outlining its plan,2
613,Barclays Names Mike Bagguley as Chief Operating Officer of Investment Bank,2
726,BHP Billiton drags FTSE lower after slashing dividend,0
271,Tesco says recovery on track  asks investors to be patient,2
716,CompaniesPound to boost ABF for now  but mixed impact ahead,3
895,Breakingviews: IAG can pay more for Aer Lingus,2
128,Royal Dutch Shell plc: Shell Updates on Alaska Exploration,2
1134,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),3
10,Barclays  Deutsche Bank Fight to Lift Profit Just Got Harder,1
885,Primark racks up a happy Christmas after strong sales,4
424,RBS bosses ordered to go out and meet small firms,2
927,Hargreaves Lansdown says first-quarter assets hit by stock market flux,1
215,Barclays's Next CEO Should Be Investment Banker  Aberdeen Says,2
685,RBS becomes a shadow of its former self,0
220,Arm buoyed by race to build the internet of things,3
566,AstraZeneca wins US approval for longer use of blood thinner,3
1097,Shire Sees Baxalta Deal Closing as Expected After New Rules,3
1069,Tesco Mobile is offering you cash back in exchange for looking at ads,2
308,Australia clears AB Inbev's $100 billion SABMiller buyout plan,3
609,PRESS: HSBC Chairman Hints Bank May Retain UK Domicile - Tel,2
443,Tesco Versus Sainsbury: Weight-Watcher vs. Bodybuilder,3
153,Intercontinental Hotels  Starwood held early deal talks - FT,2
480,Glencore raises $2.5bn through share placing to help cut debt load,2
541,Euro zone QE helps Standard Life first-quarter funds boost,3
124,CompaniesG4S claims 'positive' start to the year,3
1139,Kingfisher share price slides on cost to implement new strategy,0
69,CompaniesLord Livingston joins Dixons Carphone,3
881,Shell challenges Exxon dominance with 47 billion-pound bid for BG,2
1108,easyJet leads Britain's FTSE lower as global bond rout resumes,1
199,FDA approves Shire's Vyvanse for binge-eating disorder,3
1005,Buffett's Berkshire builds Deere stake  dumps Exxon,1
603,US dollar wipes out sales gains for SABMiller,1
13,Smith & Nephew recalls hip-replacement components,1
131,London Stock Exchange unit in talks to operate Plato venue,2
522,FTSE led lower by M&S  GlaxoSmithKline,1
693,UK's FTSE hits new record highs as CRH climbs,3
382,London stock exchange shareholders vote on merger deal under Brexit cloud,1
504,Britain's FTSE eyes 7th straight daily rise; Wolseley lags,1
402,Ex-Barclays Trader Johnson Pleaded Guilty to Libor Fixing,1
439,Anheuser-Busch InBev Increases Offer for Rival SABMiller,3
227,Shire says internal synergy goals from Baxalta deal higher,3
8,Centrica prepared for takeover approach - chairman,2
244,UPDATE 3-BP settles oil spill-related claims with Halliburton  Transocean,2
523,FTSE edges up as investors cheer Kingfisher results,4
949,CompaniesNew Aggreko CEO to reshape business  strip costs,2
995,Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,3
285,Barclays poised to replace Sir Mike Rake as he heads for exit,2
815,HSBC shakes up board with two new business chiefs  three departures,2
253,Former Aviva Investors analyst Mothahir Miah banned and fined Â£139000 by FCA ...,1
923,UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,3
103,Standard Chartered Not Raising Capital Yet As Dividend Cut,2
502,Credit Suisse poaches Prudential's Thiam for Asian push,2
790,ITV shares dip after update,1
320,British American Tobacco says would fight UK 'plain packaging' law,2
154,Warren Buffett's Berkshire Hathaway buys stake in Apple,3
958,Sharm el Sheikh: EasyJet axes all flights to Egypt's leading holiday resort,1
802,Chipotle Sales Plunge as Troubled Chain Gets Federal Subpoena,0
1038,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,3
87,UK lawmakers warn Royal Mail against further price hikes,2
850,Britain's FTSE gains  Land Securities up after dividend hike,3
138,Italy Probes Shell's Role in Purchase of Nigerian Oil Block,1
504,Britain's FTSE eyes 7th straight daily rise; Wolseley lags,1
360,LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,1
221,AstraZeneca diabetes drug combination faces delay after FDA rebuff,1
472,CompaniesSanofi poaches immunology expert from AstraZeneca,2
913,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,3
925,InterContinental Hotels denies exploring sale or merger,2
544,Glencore slumps 25 pct as debt fears grow,0
709,Greenpeace Protest of BP Forces British Museum to Close,1
663,Lloyds sells Irish loan portfolio for Â£827m,2
249,UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,2
41,BHP Billiton posts big loss  slashes dividend,0
346,CFTC fines Barclays $560000 for inaccurate swaps position reports,0
411,Shell offers 50 percent premium to buy BG for $70 billion,3
927,Hargreaves Lansdown says first-quarter assets hit by stock market flux,1
662,FTSE rallies off three-month low  boosted by StanChart  Sainsbury,3
5,Bilfinger Industrial Services win Â£100m BP contract extension,2
62,RBS will reportedly appoint Howard Davies as its next chairman,2
104,Tesco set to sell Kipa  Giraffe businesses - Sky News,3
229,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,4
639,The Latest: Buffett says cuts will pay off at Kraft Heinz,3
778,Morrisons share price: Group trading director departs as management cull ...,2
949,CompaniesNew Aggreko CEO to reshape business  strip costs,2
1054,BHP  Residents Brace as Cyclone Stan Nears Australian Coast,2
874,AB InBev approaches SABMiller to explore $250bn tie-up,3
425,AB InBev offers to sell some SABMiller brands,3
1118,WPP's Sir Martin Sorrell is highest-paid FTSE 100 chief executive,2
596,US walrus protections hit Shell's Arctic drilling plan,1
484,Warren Buffett's Berkshire Hathaway buys stake in Apple,4
518,Royal Mail and workers' union agree pay deal,3
246,Morrisons faces festive sales test,2
441,Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,3
642,Gabon Considering Back Tax Penalties Against Royal Dutch Shell,1
1126,Centrica urges policy overhaul as it warns of 'looming gap' in UK energy supplies,2
653,Brewer AB InBev seeks $275 bln tie-up with SABMiller,3
150,Tesco says recovery plan working after profit collapse,3
851,AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,3
339,RBS  Lloyds Most Exposed to Commercial Property  JPMorgan Says,2
